,sentiment_score,log_return_daily,log_return_overnight,daily_volatility,rolling_volatility_7,moving_avg_close_7,moving_avg_close_14,moving_avg_sentiment_7,moving_avg_sentiment_14,rolling_sentiment_mean_7,rolling_sentiment_std_7,sentiment_lag_1,sentiment_lag_2,sentiment_volatility_interaction
sentiment_score,1.0,0.07751963029833557,0.010198849531446943,-0.03685424554990242,-0.22106270119543484,0.22774167664200906,0.22250175864275276,0.48754633315926776,0.4150358913456993,0.48754633315926776,-0.05987611886770523,0.08467083903989966,0.13822826119641152,0.6192465198301891
log_return_daily,0.07751963029833557,1.0,-0.16437169878833824,0.7239473931983496,0.007346970765306136,-0.09591269268316377,-0.09703513016292865,-0.04671943898793337,-0.0702322200799833,-0.04671943898793337,0.023274459516034827,-0.06863309668328274,-0.04361313336539918,-0.2203897223185522
log_return_overnight,0.010198849531446943,-0.16437169878833824,1.0,-0.1616742768458444,-0.09225437787293715,0.13945462315394158,0.135908761093453,0.028430508204368,0.06358799066060314,0.028430508204368,0.009769010069042563,0.0023121544917129983,-0.03152082360827701,0.052282805692141936
daily_volatility,-0.03685424554990242,0.7239473931983496,-0.1616742768458444,1.0,0.4688376382382496,-0.30783906113073334,-0.2933023343629103,-0.20034320493771926,-0.2281096117851023,-0.20034320493771926,-0.01511702043008562,-0.1595405604275579,-0.14518361117216366,-0.3448760517459097
rolling_volatility_7,-0.22106270119543484,0.007346970765306136,-0.09225437787293715,0.4688376382382496,1.0,-0.4479014823236902,-0.4141835886281348,-0.35250358719428126,-0.31530611254881263,-0.35250358719428126,-0.1261084617819449,-0.20329826472859489,-0.1901887364966855,-0.3315646302266321
moving_avg_close_7,0.22774167664200906,-0.09591269268316377,0.13945462315394158,-0.30783906113073334,-0.4479014823236902,1.0,0.9976073759780866,0.45773895621636995,0.5370862512429395,0.45773895621636995,0.27930336123005556,0.22913458244833995,0.22503372881587305,0.24257075172751907
moving_avg_close_14,0.22250175864275276,-0.09703513016292865,0.135908761093453,-0.2933023343629103,-0.4141835886281348,0.9976073759780866,1.0,0.45145750720321154,0.5375207302189459,0.45145750720321154,0.2865155865025408,0.2241015865367154,0.220251087514086,0.23261412193437347
moving_avg_sentiment_7,0.48754633315926776,-0.04671943898793337,0.028430508204368,-0.20034320493771926,-0.35250358719428126,0.45773895621636995,0.45145750720321154,1.0,0.8520436253429173,1.0,-0.08648201398177315,0.4818234908848929,0.5020321826358085,0.4328973340139089
moving_avg_sentiment_14,0.4150358913456993,-0.0702322200799833,0.06358799066060314,-0.2281096117851023,-0.31530611254881263,0.5370862512429395,0.5375207302189459,0.8520436253429173,1.0,0.8520436253429173,-0.16413069093115357,0.41542249499906275,0.4259376229772365,0.3735021051274118
rolling_sentiment_mean_7,0.48754633315926776,-0.04671943898793337,0.028430508204368,-0.20034320493771926,-0.35250358719428126,0.45773895621636995,0.45145750720321154,1.0,0.8520436253429173,1.0,-0.08648201398177315,0.4818234908848929,0.5020321826358085,0.4328973340139089
rolling_sentiment_std_7,-0.05987611886770523,0.023274459516034827,0.009769010069042563,-0.01511702043008562,-0.1261084617819449,0.27930336123005556,0.2865155865025408,-0.08648201398177315,-0.16413069093115357,-0.08648201398177315,1.0,-0.03503525797054229,-0.05878999714667377,-0.019978997250170175
sentiment_lag_1,0.08467083903989966,-0.06863309668328274,0.0023121544917129983,-0.1595405604275579,-0.20329826472859489,0.22913458244833995,0.2241015865367154,0.4818234908848929,0.41542249499906275,0.4818234908848929,-0.03503525797054229,1.0,0.0843368145300971,0.12346866229036109
sentiment_lag_2,0.13822826119641152,-0.04361313336539918,-0.03152082360827701,-0.14518361117216366,-0.1901887364966855,0.22503372881587305,0.220251087514086,0.5020321826358085,0.4259376229772365,0.5020321826358085,-0.05878999714667377,0.0843368145300971,1.0,0.1885530577037108
sentiment_volatility_interaction,0.6192465198301891,-0.2203897223185522,0.052282805692141936,-0.3448760517459097,-0.3315646302266321,0.24257075172751907,0.23261412193437347,0.4328973340139089,0.3735021051274118,0.4328973340139089,-0.019978997250170175,0.12346866229036109,0.1885530577037108,1.0
